"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"8";"2024-01-28 12:21:00";"Fighter Pullup Challenge #1";"3600";"Pull Up";"5";"0.0";"5";"";"";"";"";""
"9";"2024-01-29 12:30:00";"Fighter Pullup Challenge #2";"3600";"Pull Up";"1";"0.0";"6";"";"";"";"";""
"9";"2024-01-29 12:30:00";"Fighter Pullup Challenge #2";"3600";"Pull Up";"2";"0.0";"5";"";"";"";"";""
"9";"2024-01-29 12:30:00";"Fighter Pullup Challenge #2";"3600";"Pull Up";"3";"0.0";"5";"";"";"";"";""
"9";"2024-01-29 12:30:00";"Fighter Pullup Challenge #2";"3600";"Pull Up";"4";"0.0";"5";"";"";"";"";""
"9";"2024-01-29 12:30:00";"Fighter Pullup Challenge #2";"3600";"Pull Up";"5";"0.0";"5";"";"";"";"";""
"10";"2024-01-29 19:16:55";"Strength 24";"2265";"Front Squat (Barbell)";"1";"74.0";"5";"";"";"";"";""
"10";"2024-01-29 19:16:55";"Strength 24";"2265";"Front Squat (Barbell)";"2";"74.0";"5";"";"";"";"";""
"10";"2024-01-29 19:16:55";"Strength 24";"2265";"Front Squat (Barbell)";"3";"74.0";"5";"";"";"";"";""
"10";"2024-01-29 19:16:55";"Strength 24";"2265";"Front Squat (Barbell)";"4";"74.0";"5";"";"";"";"";""
"10";"2024-01-29 19:16:55";"Strength 24";"2265";"Front Squat (Barbell)";"5";"74.0";"5";"";"";"";"";""
"10";"2024-01-29 19:16:55";"Strength 24";"2265";"Overhead Press (Barbell)";"1";"52.0";"5";"";"";"";"";""
"10";"2024-01-29 19:16:55";"Strength 24";"2265";"Overhead Press (Barbell)";"2";"52.0";"5";"";"";"";"";""
"10";"2024-01-29 19:16:55";"Strength 24";"2265";"Overhead Press (Barbell)";"3";"52.0";"5";"";"";"";"";""
"10";"2024-01-29 19:16:55";"Strength 24";"2265";"Overhead Press (Barbell)";"4";"52.0";"4";"";"";"";"";""
"10";"2024-01-29 19:16:55";"Strength 24";"2265";"Overhead Press (Barbell)";"5";"52.0";"5";"";"";"";"";""
"10";"2024-01-29 19:16:55";"Strength 24";"2265";"Snatch Pull (Barbell)";"W";"52.0";"5";"";"";"";"";""
"10";"2024-01-29 19:16:55";"Strength 24";"2265";"Snatch Pull (Barbell)";"1";"104.0";"5";"";"";"";"";""
"10";"2024-01-29 19:16:55";"Strength 24";"2265";"Snatch Pull (Barbell)";"2";"104.0";"5";"";"";"";"";""
"10";"2024-01-29 19:16:55";"Strength 24";"2265";"Snatch Pull (Barbell)";"3";"104.0";"5";"";"";"";"";""
"10";"2024-01-29 19:16:55";"Strength 24";"2265";"Snatch Pull (Barbell)";"4";"104.0";"5";"";"";"";"";""
"10";"2024-01-29 19:16:55";"Strength 24";"2265";"Snatch Pull (Barbell)";"5";"104.0";"5";"";"";"";"";""
"11";"2024-01-30 12:31:00";"Fighter Pullup Challenge #3";"3600";"Pull Up";"1";"0.0";"6";"";"";"";"";""
"11";"2024-01-30 12:31:00";"Fighter Pullup Challenge #3";"3600";"Pull Up";"2";"0.0";"6";"";"";"";"";""
