Time,Date,S,H,P,T,L,U,C,X
1449874800.0,2015/12/12,0,0,0,0,0,0,0,0
1450479600.0,2015/12/19,0,0,0,0,0,0,0,0
1451084400.0,2015/12/26,0,0,0,0,0,0,0,0
1451689200.0,2016/01/02,0,0,0,0,0,0,0,0
1452294000.0,2016/01/09,0,0,0,0,0,0,0,0
1452898800.0,2016/01/16,0,0,0,0,0,0,0,0
1453503600.0,2016/01/23,0,0,0,0,0,0,0,0
1454108400.0,2016/01/30,0,0,0,0,0,0,0,0
1454713200.0,2016/02/06,0,0,0,0,0,0,0,0
1455318000.0,2016/02/13,0,0,0,0,0,0,0,0
1455922800.0,2016/02/20,0,0,0,0,0,0,0,0
1456527600.0,2016/02/27,0,0,0,0,0,0,0,0
1457132400.0,2016/03/05,0,0,0,0,0,0,0,0
1457737200.0,2016/03/12,0,0,0,0,0,0,0,0
1458342000.0,2016/03/19,0,0,0,0,0,0,0,0
1458946800.0,2016/03/26,0,0,0,0,0,0,0,0
1459551600.0,2016/04/02,0,0,0,0,0,0,0,0
1460156400.0,2016/04/09,0,0,0,0,0,0,0,0
1460761200.0,2016/04/16,0,0,0,0,0,0,0,0
1461366000.0,2016/04/23,0,0,0,0,0,0,0,0
1461970800.0,2016/04/30,0,0,0,0,0,0,0,0
1462575600.0,2016/05/07,0,0,0,0,0,0,0,0
1463180400.0,2016/05/14,0,0,0,0,0,0,0,0
1463785200.0,2016/05/21,0,0,0,0,0,0,0,0
1464390000.0,2016/05/28,0,0,0,0,0,0,0,0
1464994800.0,2016/06/04,0,0,0,0,0,0,0,0
1465599600.0,2016/06/11,0,0,0,0,0,0,0,0
1466204400.0,2016/06/18,0,0,0,0,0,0,0,0
1466809200.0,2016/06/25,0,0,0,0,0,0,0,0
1467414000.0,2016/07/02,0,0,0,0,0,0,0,0
1468018800.0,2016/07/09,0,0,0,0,0,0,0,0
1468623600.0,2016/07/16,0,0,0,0,0,0,0,0
1469228400.0,2016/07/23,0,0,0,0,0,0,0,0
1469833200.0,2016/07/30,0,0,0,0,0,0,0,0
1470438000.0,2016/08/06,0,0,0,0,0,0,0,0
1471042800.0,2016/08/13,0,0,0,0,0,0,0,0
1471647600.0,2016/08/20,0,0,0,0,0,0,0,0
1472252400.0,2016/08/27,0,0,0,0,0,0,0,0
